,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Prosody,Morphemes,asjp_forms,asjp_segs
108,Meixian-Liu-2007-201-95-1,,Meixian,Liu-2007-201-95,pʰiaŋ¹¹,pʰiaŋ¹¹,pʰ j a ŋ ¹¹,,Liu2007,,,,,i m n c t,,ph~ y a N , N a ph~ y
109,Guilin-Liu-2007-201-95-1,,Guilin,Liu-2007-201-95,pei²²,pei²²,p ei ²²,,Liu2007,,,,,i n t,,p ei , ei p
110,Guangzhou-Liu-2007-201-95-1,,Guangzhou,Liu-2007-201-95,pʰɛŋ²¹,pʰɛŋ²¹,pʰ ɛ ŋ ²¹,,Liu2007,,,,,i n c t,,ph~ E N , E N ph~
111,Fuzhou-Liu-2007-201-95-1,,Fuzhou,Liu-2007-201-95,paŋ⁵³,paŋ⁵³,p a ŋ ⁵³,,Liu2007,,,,,i n c t,,p a N , N a p
112,Xiamen-Liu-2007-201-95-1,,Xiamen,Liu-2007-201-95,piæ²⁴,piæ²⁴,p j æ ²⁴,,Liu2007,,,,,i m n t,,p y E , E p y
113,Beijing-Liu-2007-201-96-1,,Beijing,Liu-2007-201-96,tɕʰi⁵⁵ tsɿ⁰,tɕʰi⁵⁵ tsɿ⁰,tɕʰ i ⁵⁵ + ts ɿ ⁰,,Liu2007,,,,,i n t + i n t,,tSh~ i   ts , i tSh~ ts
114,Haerbin-Liu-2007-201-96-1,,Haerbin,Liu-2007-201-96,lau²¹³⁻²¹ pʰɤ⁰,lau²¹³⁻²¹ pʰɤ⁰,l au ²¹³ + pʰ ɤ ⁰,,Liu2007,,,,,i n t + i n t,,l au   ph~ o , au l o ph~
115,Haerbin-Liu-2007-201-96-2,,Haerbin,Liu-2007-201-96,ɕi²¹³⁻²¹ fur⁰,ɕi²¹³⁻²¹ fur⁰,ɕ i ²¹³ + f u ⁰,,Liu2007,,,,,i n t + i n t,,S i   f u , S f i u
116,Haerbin-Liu-2007-201-96-3,,Haerbin,Liu-2007-201-96,lau²¹³⁻²¹ niaŋ²⁴ mər⁰,lau²¹³⁻²¹ niaŋ²⁴ mər⁰,l au ²¹³ + n j a ŋ ²⁴ + m ə ⁰,,Liu2007,,,,,i n t + i m n c t + i n t,,l au   n y a N   m 3 , 3 N a au l m n y
117,Jinan-Liu-2007-201-96-1,,Jinan,Liu-2007-201-96,tɕʰi²¹³⁻²¹ tsɿ⁰,tɕʰi²¹³⁻²¹ tsɿ⁰,tɕʰ i ²¹³ + ts ɿ ⁰,,Liu2007,,,,,i n t + i n t,,tSh~ i   ts , i tSh~ ts
118,Rongcheng-Liu-2007-201-96-1,,Rongcheng,Liu-2007-201-96,lau²¹³ pʰə⁰,lau²¹³ pʰə⁰,l au ²¹³ + pʰ ə ⁰,,Liu2007,,,,,i n t + i n t,,l au   ph~ 3 , 3 au l ph~
119,Taiyuan-Liu-2007-201-96-1,,Taiyuan,Liu-2007-201-96,lau⁵³ pʰɤ²¹,lau⁵³ pʰɤ²¹,l au ⁵³ + pʰ ɤ ²¹,,Liu2007,,,,,i n t + i n t,,l au   ph~ o , au l o ph~
